Company Name,Industry,Symbol,Category
Trident Ltd.,Textiles,TRIDENT,Smallcap
Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI,Smallcap
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,Smallcap
UCO Bank,Financial Services,UCOBANK,Smallcap
UTI Asset Management Company Ltd.,Financial Services,UTIAMC,Smallcap
Ujjivan Small Finance Bank Ltd.,Financial Services,UJJIVANSFB,Smallcap
Usha Martin Ltd.,Capital Goods,USHAMART,Smallcap
V-Guard Industries Ltd.,Consumer Durables,VGUARD,Smallcap
V.I.P. Industries Ltd.,Consumer Durables,VIPIND,Smallcap
Valor Estate Ltd.,Realty,DBREALTY,Smallcap
Vardhman Textiles Ltd.,Textiles,VTL,Smallcap
Varroc Engineering Ltd.,Automobile and Auto Components,VARROC,Smallcap
Vedant Fashions Ltd.,Consumer Services,MANYAVAR,Smallcap
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA,Smallcap
Vinati Organics Ltd.,Chemicals,VINATIORGA,Smallcap
Welspun Corp Ltd.,Capital Goods,WELCORP,Smallcap
Welspun Living Ltd.,Textiles,WELSPUNLIV,Smallcap
Westlife Foodworld Ltd.,Consumer Services,WESTLIFE,Smallcap
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,Smallcap
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,Smallcap
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,Smallcap
eClerx Services Ltd.,Services,ECLERX,Smallcap
